Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2025-12-05,62.34%,-0.27%,27.34%,38%,0.096997574851924,262811,0.53218786696176,2105934,23,239573,23238,1374462,731472
2025-12-04,62.61%,+0.45%,27.67%,38%,0.20977148011209,175706,0.53253190278673,2065735,22.95,145239,30467,1347923,717812
2025-12-03,62.16%,+2.55%,27.12%,37%,0.18904893544789,171619,0.53566322621899,2036572,23.21,144333,27286,1326184,710388
2025-12-02,59.61%,+59.61%,24.00%,30%,0.1116378346315,228635,0.54629516698763,1990470,22.81,205674,22961,1287251,703219
2025-12-01,0.00%,-63.35%,0.00%,0%,0,0,0.55701280678926,1943289,0,0,0,1248088,695201
2025-11-28,63.35%,+3.16%,28.57%,40%,0.07632109986383,328025,0.55948819168387,1972882,22.53,304765,23260,1265083,707799
2025-11-26,60.19%,-0.66%,24.61%,31%,0.17858831044395,184508,0.56544576427323,1932153,21.63,156550,27958,1234251,697902
2025-11-25,60.85%,-3.93%,23.89%,33%,0.15980128737943,180000,0.57425428442949,1890459,21.06,155199,24801,1200860,689599
2025-11-24,64.78%,-5.74%,27.33%,42%,0.23570189152507,143853,0.5899592297016,1832905,20.49,116414,27439,1152800,680105
2025-11-21,70.52%,+1.81%,33.65%,56%,0.37363774269919,216418,0.55275419032842,2031577,20.14,157551,58867,1308370,723207
2025-11-20,68.70%,+3.29%,31.65%,54%,0.26495909081199,177642,0.56127775147092,2007964,19.94,140433,37209,1286103,721861
2025-11-19,65.41%,-0.28%,28.03%,47%,0.17609948522829,84077,0.56881886392382,1993233,20.42,71488,12589,1270531,722702
2025-11-18,65.70%,+0.83%,28.34%,47%,0.16427794910479,104955,0.57591683784067,1969428,20.5,90146,14809,1249703,719725
2025-11-17,64.87%,+0.50%,27.43%,42%,0.20601663818941,129168,0.58641743762449,1937003,20.5,107103,22065,1220992,716011
2025-11-14,64.37%,+0.28%,21.63%,41%,0.24522282834083,156136,0.55193672679942,2041281,20.66,125388,30748,1315312,725969
2025-11-13,64.10%,+3.19%,21.39%,40%,0.2250147288165,176739,0.55885975283348,2023891,20.96,144275,32464,1298315,725576
2025-11-12,60.91%,-4.27%,18.56%,33%,0.16825955480041,115514,0.56350691208541,1998129,21.36,98877,16637,1277979,720150
2025-11-11,65.19%,+4.78%,22.35%,42%,0.14831970783355,137091,0.56819253461626,1965549,21.45,119384,17707,1253385,712164
2025-11-10,60.41%,+0.31%,18.11%,32%,0.10962650030293,135532,0.57914559090411,1929997,21.49,122142,13390,1222178,707819
2025-11-07,60.10%,+1.92%,17.84%,30%,0.38429410649991,182623,0.5577469020481,2022010,21.5,131925,50698,1298035,723975
2025-11-06,58.18%,+2.92%,16.14%,29%,0.078004604933206,189151,0.55993154394402,2016224,21.35,175464,13687,1292508,723716
2025-11-05,55.26%,-0.46%,13.54%,22%,0.20953210125714,91691,0.5652414378248,1992388,22.01,75807,15884,1272895,719493
2025-11-04,55.71%,+2.52%,13.95%,23%,0.19302130924563,136830,0.57191333729333,1952986,21.98,114692,22138,1242426,710560
2025-11-03,53.20%,-1.80%,11.71%,16%,0.19049275866568,136865,0.58848840355252,1896428,22.11,114965,21900,1193857,702571
2025-10-31,54.99%,+1.48%,13.31%,21%,0.31373244707095,236975,0.54517774010593,2025317,22.29,180383,56592,1310734,714583
2025-10-30,53.51%,-5.83%,12.00%,17%,0.16248868150783,142506,0.54494094662313,2008570,22.58,122587,19919,1300095,708475
2025-10-29,59.35%,+5.70%,17.17%,27%,0.115075927661,126153,0.55415606406024,1971534,23.38,113134,13019,1268556,702978
2025-10-28,53.64%,-1.25%,12.11%,17%,0.28647471288466,110449,0.55074752680728,1935305,23.3,85854,24595,1247982,687323
2025-10-27,54.89%,-0.10%,13.22%,19%,0.13040318907772,220900,0.56886783019764,1867130,23.53,195417,25483,1190113,677017
2025-10-24,54.99%,-0.31%,13.31%,19%,0.12968104735963,257138,0.55152712111237,1944335,23.3,227620,29518,1253175,691160
2025-10-23,55.30%,+5.18%,13.58%,20%,0.10216906844557,376372,0.59224225997407,1851644,23.63,341483,34889,1162916,688728
2025-10-22,50.12%,+8.84%,8.98%,10%,0.18371336804517,237344,0.60610510506716,1779497,22.49,200508,36836,1107958,671539
2025-10-21,41.28%,+1.28%,1.14%,2%,0.12120831764361,160788,0.64358415033709,1696049,22.8,143406,17382,1031921,664128
2025-10-20,40.00%,-6.67%,0.00%,2%,0.21877447572448,138493,0.65974864064806,1632152,23.37,113633,24860,983373,648779
2025-10-17,46.67%,-1.64%,0.72%,4%,0.2848217477495,158141,0.56118255852115,2045477,23.07,123084,35057,1310210,735267
2025-10-16,48.31%,+1.53%,2.26%,7%,0.15647074602843,155203,0.57319904449527,2015924,22.95,134204,20999,1281417,734507
2025-10-15,46.78%,-0.49%,0.83%,4%,0.24702405765686,134615,0.57828044333237,1963575,23.38,107949,26666,1244123,719452
2025-10-14,47.28%,+0.83%,1.29%,5%,0.2421120037257,106685,0.58214580134097,1944155,23.21,85890,20795,1228809,715346
2025-10-13,46.44%,-5.12%,0.51%,3%,0.17054767665369,122403,0.59718935544555,1902663,23.59,104569,17834,1191257,711406
2025-10-10,51.57%,+5.11%,5.31%,11%,0.30585782182564,154688,0.58231841876594,1953899,23.3,118457,36231,1234833,719066
