Symbol,Price~,"Exp Date",DTE,Type,Strike,Bid,Latest,Ask,Volume,"Open Int",Vol/OI,Delta,"Date On List"
GME,21.38,2026-01-02,10,Put,21.5,0.44,0.5,0.52,685,460,1.49,-0.540649,2025-12-23
GME,21.38,2026-01-02,10,Call,21.5,0.35,0.41,0.46,2577,307,8.39,0.465214,2025-12-23
GME,21.38,2025-12-26,3,Call,21.5,0.16,0.17,0.19,5303,1779,2.98,0.418261,2025-12-23
GME,21.38,2025-12-26,3,Call,21,0.46,0.47,0.52,3083,1377,2.24,0.741791,2025-12-23
GME,21.74,2026-02-20,60,Put,20,0.61,0.64,0.71,860,116,7.41,-0.278331,2025-12-22
GME,21.74,2026-01-02,11,Call,23,0.17,0.19,0.21,4038,1986,2.03,0.221031,2025-12-22
GME,21.74,2026-01-02,11,Call,22.5,0.26,0.29,0.29,755,536,1.41,0.314321,2025-12-22
GME,21.74,2026-01-02,11,Call,22,0.38,0.38,0.47,1745,922,1.89,0.424502,2025-12-22
GME,21.74,2026-01-02,11,Put,21.5,0.31,0.38,0.4,575,124,4.64,-0.416137,2025-12-22
GME,21.74,2025-12-26,4,Call,22.5,0.1,0.1,0.12,11328,6353,1.78,0.204095,2025-12-22
GME,21.74,2025-12-26,4,Put,22,0.41,0.43,0.48,4640,3409,1.36,-0.644062,2025-12-22
GME,21.74,2025-12-26,4,Call,22,0.19,0.2,0.21,10897,6841,1.59,0.374809,2025-12-22
GME,21.74,2025-12-26,4,Put,21.5,0.18,0.19,0.2,4155,755,5.5,-0.368546,2025-12-22
GME,22.51,2026-01-16,27,Put,17,0.08,0.1,0.11,686,500,1.37,-0.053344,2025-12-19
GME,22.51,2026-01-09,20,Call,24,0.31,0.37,0.37,731,487,1.5,0.275848,2025-12-19
GME,22.51,2026-01-02,13,Call,23.5,0.27,0.27,0.42,1131,676,1.67,0.280719,2025-12-19
GME,22.51,2026-01-02,13,Put,22,0.3,0.4,0.42,664,354,1.88,-0.361898,2025-12-19
GME,22.51,2025-12-26,6,Call,23.5,0.12,0.14,0.14,4043,2687,1.5,0.212614,2025-12-19
GME,22.51,2025-12-26,6,Call,22.5,0.37,0.39,0.39,6164,2127,2.9,0.508851,2025-12-19
GME,22.51,2025-12-26,6,Put,22,0.13,0.17,0.16,2525,1444,1.75,-0.27096,2025-12-19
GME,22.51,2025-12-26,6,Call,21,1.39,1.5,1.7,1329,742,1.79,0.920365,2025-12-19
GME,22.56,2028-01-21,764,Put,5,0.5,0.55,0.64,5732,1659,3.46,-0.030898,2025-12-18
GME,22.56,2025-12-26,8,Put,22.5,0.4,0.42,0.46,1125,432,2.6,-0.473063,2025-12-18
GME,23.03,2026-04-17,121,Put,22,1.6,2.11,2.05,3463,1017,3.41,-0.384822,2025-12-17
GME,23.03,2026-01-30,44,Call,35,0.18,0.23,0.25,880,357,2.46,0.086166,2025-12-17
GME,23.03,2026-01-16,30,Put,27,4.1,4.3,4.4,506,129,3.92,-0.828963,2025-12-17
GME,23.03,2026-01-16,30,Put,25,2.35,2.5,2.51,4857,1530,3.17,-0.715644,2025-12-17
GME,23.03,2026-01-16,30,Call,19,3.9,4.04,4.35,502,331,1.52,0.975931,2025-12-17
GME,23.03,2025-12-26,9,Call,26,0.1,0.11,0.12,2797,1730,1.62,0.108433,2025-12-17
GME,23.03,2025-12-26,9,Call,24.5,0.16,0.23,0.23,5538,754,7.34,0.226429,2025-12-17
GME,23.03,2025-12-26,9,Put,23,0.48,0.49,0.54,716,474,1.51,-0.483826,2025-12-17
GME,23.03,2025-12-26,9,Call,22.5,0.8,0.82,0.9,2477,1715,1.44,0.66416,2025-12-17
